"Probe","HR","CI_lower","CI_upper","P_value","Significant"
"ILMN_2413323",1.27420898372414,1.15785674865268,1.4022533755515,7.04410579793838e-07,"Yes"
"ILMN_1698995",1.16536626129398,1.09459320683605,1.24071528535049,1.68872269613984e-06,"Yes"
"ILMN_1810054",1.17010283960687,1.09568086171524,1.24957978467628,2.79509855651191e-06,"Yes"
"ILMN_1729216",1.25971939655787,1.14228897827222,1.38922198169537,3.75270206677716e-06,"Yes"
"ILMN_1795325",1.23551085710986,1.12895379711567,1.35212537655333,4.31094336573359e-06,"Yes"
"ILMN_1712075",1.19258637521686,1.10596296343395,1.28599447664762,4.69855200338308e-06,"Yes"
"ILMN_2400935",1.2177881709599,1.11793947331136,1.32655484910748,6.35361899244154e-06,"Yes"
"ILMN_1660086",1.2017012884707,1.10928825363504,1.30181310581808,6.78001395483056e-06,"Yes"
"ILMN_2163723",1.21559915296741,1.11585577586278,1.32425832500847,7.83753655624098e-06,"Yes"
"ILMN_1726204",1.17156658801719,1.09238261533253,1.25649040079277,9.21583921399892e-06,"Yes"
